id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
94,1979-09-24,366306.96,2,2,3276,7838,3,0,1,2,1,2934,711,1906,0,98002,47.33463112610809,-122.25879689840232
95,1992-09-27,390318.81,5,6,4001,2292,3,1,2,3,7,788,666,1912,0,98007,47.196370553376475,-122.45127989258437
96,1970-08-06,455274.59,4,2,4905,5714,1,0,2,2,1,3820,173,1970,0,98008,47.34497945073101,-122.55925533712056
97,1974-04-16,446866.63,3,1,4296,3926,3,0,4,5,3,4038,1404,1946,0,98009,47.28460245361375,-122.2962299590976
98,1931-03-31,681276.46,6,6,1918,2240,2,0,3,3,10,3593,332,1911,1998,98006,47.21235869591574,-122.46852723289241
99,2015-07-27,476101.54,2,1,2997,9889,2,0,2,2,11,3306,1345,2004,0,98005,47.700693858008606,-121.8240987895747
100,1992-04-21,503808.13,7,2,1434,3797,3,1,0,4,12,920,1669,1986,0,98005,47.08923471371903,-121.60930345419787
101,2018-08-05,309666.49,6,2,2590,7567,3,1,1,3,4,1416,359,2005,2013,98008,47.677267092207074,-121.87604139845732
102,1948-09-11,441784.81,2,6,2635,4881,1,1,4,1,4,2557,155,1904,2021,98007,47.257159421465495,-121.74300817633137
103,2018-11-26,441883.96,2,3,3905,9362,3,1,1,4,10,4106,852,1957,0,98007,47.0782888557892,-122.2865874989542
104,1976-02-16,523459.75,6,3,1771,5823,2,0,3,2,6,3154,1434,1941,2004,98010,47.12001720634112,-122.26315122735333
105,1983-09-07,626498.63,6,5,3086,7570,2,0,1,2,3,4198,1898,1968,0,98002,47.52282521568059,-121.73455880307871
106,1999-11-06,560161.04,3,1,1947,4051,3,0,1,4,1,3545,754,1968,0,98009,47.106251253310724,-122.48880616549174
107,2009-12-04,453440.43,1,6,1127,9795,1,0,0,2,7,3370,1342,1972,1984,98003,47.43691056223415,-122.37031677443292
108,1993-02-20,538305.65,8,4,4444,6332,1,0,2,1,10,1726,584,1981,0,98003,47.768542390933526,-122.36336504077465
109,1992-12-18,472212.78,1,3,2757,4724,1,1,1,2,12,4152,10,1981,0,98004,47.28836509674724,-122.3771304544961
110,2006-02-21,519474.92,8,2,1822,5583,2,0,4,2,4,567,1549,1983,0,98010,47.10649903527432,-122.17931535541196
111,2022-02-17,505795.44,6,5,1356,8655,1,1,1,1,13,2890,1080,2013,2014,98009,47.4448341008085,-122.18292198560992
112,2019-11-13,569244.16,7,5,3919,6116,3,1,0,3,2,1934,1068,1928,1970,98003,47.360903931277385,-121.65926141059758
113,1968-08-11,394167.89,3,3,2363,3245,1,1,3,1,8,3337,807,1917,0,98004,47.57293616587483,-122.59951117451735
114,1981-12-22,496451.53,6,5,3922,1941,2,1,3,3,7,1886,1264,1950,1995,98003,47.33343434948575,-121.67973620395145
115,1958-12-24,533082.21,2,5,2367,1833,1,0,2,3,7,3591,1294,1910,0,98004,47.527161908396266,-121.666943311206
116,1971-03-06,459532.36,8,5,1558,4875,2,0,0,5,12,1644,255,1914,0,98009,47.453780820654494,-121.82281738183231
117,2001-07-19,376896.49,3,3,1443,2416,2,0,3,4,5,2780,438,1988,0,98005,47.484033870338045,-121.89545450994771
118,2023-04-12,445831.18,7,1,3662,9233,2,1,0,1,4,3994,103,2022,2022,98010,47.0353294050744,-122.25176562474309
119,2019-02-07,470417.01,6,5,3685,3885,3,0,2,3,10,1747,853,2017,0,98009,47.35449304429273,-121.83764218769925
120,2013-08-21,618681.93,1,5,884,2728,3,0,1,5,12,2798,1032,1968,0,98007,47.369629212959296,-122.43021052569486
121,1990-06-30,468807.07,1,3,2915,2029,1,0,0,4,12,1298,898,1980,0,98006,47.3554533703256,-122.19985935493439
122,2001-05-15,422952.15,3,3,1630,2313,1,1,2,1,5,3780,121,1952,1998,98003,47.78479953287479,-122.55721968966037
123,2024-09-30,535631.4,7,6,2528,4107,1,0,2,5,5,4380,169,1924,2018,98009,47.45444006720809,-122.39703855628433
124,2008-12-04,479161.19,3,4,3016,6777,3,0,3,4,5,3447,552,1928,0,98004,47.344212825373866,-121.92793184416355
125,2016-01-08,668524.9,5,3,3986,6625,2,1,4,2,12,4235,71,1903,0,98003,47.737308627762005,-122.38743940438802
126,2007-04-18,351620.43,1,6,3864,3645,1,1,4,2,8,3194,1282,1974,0,98008,47.73599656349587,-122.07244616599927
127,2004-11-12,454800.4,7,6,1592,4554,3,0,1,3,7,3824,1829,1939,0,98008,47.56374019441843,-122.44407088151203
128,2015-06-11,514859.96,1,6,2842,5545,3,1,4,2,7,2910,427,1954,0,98010,47.632780870337164,-121.75884766071697
129,2020-08-04,486946.23,4,4,2574,2257,1,1,2,1,9,4426,1427,2007,0,98004,47.1320641248439,-122.32941610638582
130,1991-05-16,335800.62,5,3,2084,3592,3,1,4,5,6,529,1673,1902,1994,98003,47.31223517131944,-122.3683343790734
131,2008-07-11,566028.19,1,2,3762,5998,3,0,4,1,6,2597,851,1991,0,98006,47.36093685038251,-122.1388352098786
132,2023-02-25,598259.96,1,6,1129,1323,1,1,0,1,5,1778,1677,2018,0,98008,47.53953062998678,-121.8488341161795
133,1925-08-02,419243.26,7,6,2060,3983,3,0,4,1,3,2587,399,1919,0,98001,47.43096414207603,-121.94737062281501
134,2002-12-26,559770.18,6,1,1179,3859,1,0,1,5,10,3722,1994,1936,0,98008,47.76258913529954,-121.67831674132377
135,1919-01-05,444346.91,1,1,1064,2646,1,1,3,1,3,4366,135,1913,0,98004,47.78268999829422,-122.57860325871924
136,2019-12-03,387521.82,5,2,4678,7291,3,1,1,5,11,3030,356,1931,0,98006,47.47548089609875,-122.23245909848644
137,2009-02-26,428441.74,3,3,4908,8707,2,1,1,4,10,1638,1321,1968,2006,98007,47.298621194687115,-122.29828881910572
138,2022-06-09,604478.18,7,4,3313,9418,1,1,1,4,9,4064,895,1995,0,98001,47.77855648522021,-122.37046271487019
139,1956-03-23,551117.31,7,2,3353,9371,2,1,2,4,1,1060,823,1911,0,98002,47.61122125227495,-122.47455231606413
140,1964-01-18,497602.91,3,5,1266,9433,2,1,4,2,2,2568,1529,1955,0,98001,47.23093908818956,-122.38696933543493
141,1964-07-30,436128.08,6,1,3246,6073,1,1,1,1,10,3806,1536,1954,0,98003,47.03776826738981,-122.56240949601778
142,2004-10-15,393745.91,1,5,1119,1291,3,0,1,2,12,546,1009,1984,0,98009,47.39097741734528,-121.69945130615487
143,1981-12-14,404635.86,1,4,1294,7996,1,1,1,4,9,3174,123,1961,2010,98005,47.06354604713585,-122.03813027494246
144,1988-05-28,350315.6,7,4,3247,8111,1,0,0,4,3,2382,220,1945,1957,98010,47.40095971560769,-122.49659151319332
145,1959-05-21,454802.7,6,4,4976,6943,3,1,4,4,2,4184,1049,1943,0,98001,47.629554988046216,-122.44058223360157
146,1997-08-17,240928.85,7,2,4414,4056,2,1,4,4,4,1026,1288,1951,0,98009,47.10395556733378,-122.39562930920766
147,1981-11-06,514362.35,8,5,907,1757,3,1,3,2,4,3353,1744,1935,0,98003,47.32611258029832,-122.05012928179356
148,2017-11-01,465446.66,7,1,1681,4198,1,0,1,1,3,1329,478,2011,0,98010,47.328441753025984,-121.65127426435281
149,1999-01-24,469263.29,6,1,4765,4609,2,1,1,2,12,3605,196,1996,2023,98008,47.16154648699449,-122.05748736539206
150,1943-01-16,448665.64,2,3,4158,3017,3,1,1,1,4,1617,904,1912,0,98005,47.29036613961696,-122.11543071943794
151,2012-03-19,456392.77,4,6,2026,2343,3,1,3,3,13,3069,225,1947,0,98010,47.50353758507928,-121.81346812964672
152,2022-10-26,609184.02,1,2,3068,6709,2,0,3,5,6,1155,1932,2014,2019,98002,47.097424833965505,-121.80452877810657
153,2015-12-30,637076.96,7,6,2921,8947,3,0,1,4,1,4447,234,1954,0,98003,47.56369313909055,-121.71680284129992
154,2022-01-26,484314.08,5,4,3362,1839,1,0,1,3,4,2266,1663,1909,2016,98008,47.44588026669736,-122.4281011565262
155,1968-08-29,402771.43,5,2,3873,9489,3,0,4,5,9,1376,271,1962,0,98008,47.3566099977288,-122.58081214168782
156,2018-04-30,295327.7,4,5,2897,8959,3,1,4,4,10,1959,562,2011,2020,98004,47.76037476115171,-122.02469671856774
157,1998-11-08,437278.82,1,6,1096,2131,1,0,3,2,12,3911,1005,1986,0,98006,47.07138406007189,-122.3288643768047
158,1953-06-29,477659.17,5,3,2439,2237,1,1,3,4,2,4316,840,1903,1998,98006,47.72802269863246,-121.77456137882112
159,2024-03-18,419444.81,2,5,3181,3521,3,1,4,1,4,4324,483,2017,0,98006,47.423572490370354,-122.2680276062398
160,1978-08-09,513367.83,5,3,2972,5478,1,0,4,4,7,851,621,1913,0,98007,47.228672591222626,-122.59580783102824
161,2022-06-24,559356.04,8,4,3573,1718,1,0,2,3,6,2766,1316,1918,0,98010,47.702780817864266,-122.14104324743505
162,1950-01-04,456898.51,7,2,3138,9821,1,0,4,5,2,2029,881,1941,2015,98008,47.777182974521935,-121.90288275760614
163,2000-04-12,673515.38,7,5,961,4834,1,1,1,3,6,2938,586,1944,0,98001,47.2278133800672,-122.29404015467192
164,1983-01-09,331064.7,4,3,4553,3592,2,0,2,5,11,4345,211,1981,0,98006,47.43241277560006,-122.39115686820794
165,1984-07-13,311064.9,2,1,3985,5413,2,0,0,3,5,630,1623,1930,1943,98003,47.38810739434057,-122.33605469458168
166,2015-06-23,574842.11,5,1,4938,5979,3,1,1,2,9,2224,1349,1923,0,98002,47.66995827803681,-122.2441062820874
167,2003-03-30,436417.28,3,6,1382,6344,1,1,3,2,7,3888,1414,1979,0,98009,47.73907050203714,-122.23711092421523
168,2023-03-30,627547.69,6,6,859,2947,3,1,3,3,6,1317,1172,2023,2023,98006,47.31002375983326,-122.10499821556881
169,1975-02-23,517410.85,2,3,3894,7055,3,1,4,3,5,4296,1552,1920,0,98009,47.355338731759645,-121.62769434100335
170,2012-11-09,321457.71,4,2,996,4170,1,1,0,2,11,3261,591,1988,2009,98005,47.223994534068126,-122.1013004403909
171,2013-11-03,519429.05,7,1,2636,4901,2,0,1,3,2,1851,1413,2007,2008,98003,47.42204057380418,-122.52842882554468
172,1918-01-11,508645.6,5,1,1868,4896,2,1,1,2,11,656,1609,1914,1953,98004,47.35855928692915,-122.38751959221769
173,2007-06-18,548317.74,3,2,3087,9446,2,1,4,1,4,817,1785,1974,0,98010,47.54086302794749,-122.56824418564555
174,1937-10-27,616321.67,7,4,2122,6506,2,1,3,2,4,3967,599,1902,0,98006,47.22273228288488,-122.39753004288053
175,2016-02-20,547004.64,2,6,3774,1999,3,0,1,5,3,3258,1750,1999,0,98004,47.786600993837595,-122.5714496337025
176,1980-04-26,299653.22,2,4,4281,4033,2,0,1,3,5,982,704,1930,0,98001,47.23407615605126,-122.2563596092281
177,1993-09-18,618099.02,1,1,1200,6687,3,0,3,2,12,724,110,1970,0,98004,47.12328808086695,-122.05222377712418
178,1999-09-19,506557.47,7,5,4521,9403,3,0,0,5,6,4226,874,1953,0,98010,47.23356613985157,-122.45746840512064
179,1939-11-25,383146.51,1,4,933,6602,3,1,3,2,3,1013,1906,1938,1963,98002,47.64144659540481,-122.43569940022985
180,1992-11-18,569882.68,1,2,4922,5160,3,1,0,4,5,3609,801,1963,1985,98001,47.22945783369559,-121.64792344089294
181,1994-07-05,519323.55,2,5,3903,1680,3,1,4,1,2,1920,737,1951,0,98001,47.31174453627808,-121.97138941753335
182,2009-12-27,403279.4,2,5,3855,7961,1,0,4,1,7,1219,1403,1975,0,98010,47.38873961720025,-122.38678826753387
183,1999-08-31,532645.69,4,4,1772,5533,2,0,0,1,13,1863,1538,1932,0,98004,47.50512042960106,-121.85136076325158
184,1934-11-26,473254.65,8,1,4887,2738,2,0,2,5,8,1407,75,1921,0,98008,47.14101519530372,-122.42217684895651
185,1944-05-19,663943.85,4,2,4312,8603,1,1,4,4,11,3727,969,1936,2024,98004,47.30299490781855,-122.14347249474596
186,1925-07-21,435752.38,1,4,962,8749,1,0,3,5,13,2259,1818,1923,1967,98004,47.187312739830844,-122.08598862865567
187,1944-05-27,459124.4,4,3,1437,6387,1,1,3,1,4,2074,1255,1915,0,98010,47.55174517362832,-122.46235393007771
188,1960-07-25,456657.7,5,4,4106,3618,3,1,1,4,1,3533,1813,1921,0,98010,47.32497880733078,-121.84864000239257
189,2005-05-22,487887.0,2,6,2205,7115,2,0,1,2,6,2108,1573,1938,2018,98007,47.64064559036712,-121.79144119084812
190,2008-07-25,519494.82,7,5,2864,2321,1,0,3,3,10,1499,437,1971,0,98001,47.20463699776559,-121.83316019293468
191,1906-11-02,583881.1,5,5,2510,4170,1,0,3,4,2,1474,1735,1900,0,98010,47.65501515393257,-122.3685565193193
192,1943-12-23,537910.4,1,1,963,2959,3,0,1,4,10,4464,230,1913,0,98006,47.61866694089099,-122.22250406368869
193,2016-07-27,342737.62,3,6,2777,5896,1,0,3,1,8,2155,1365,1995,0,98004,47.2251062497686,-122.2737033888156
194,2024-04-22,527664.88,3,2,2006,2257,3,1,0,3,3,1273,1629,2008,0,98010,47.54010589568895,-122.4543331307619
195,2022-09-15,464203.0,8,3,815,1852,3,1,1,4,10,3110,1391,2007,0,98003,47.72927819074752,-122.4892557659266
196,2015-10-13,508275.47,8,4,1517,2867,3,0,0,1,5,3921,162,1970,2021,98008,47.78163405167777,-121.8143444331924
197,2022-08-25,535388.32,7,5,1830,6568,3,1,2,4,8,928,1806,2002,2011,98001,47.17215548153849,-121.9850240994755
198,1944-02-10,525446.2,2,2,3155,8966,3,1,2,3,10,1119,1845,1941,0,98002,47.251620794693316,-122.37401306735161
199,2023-11-26,609640.75,7,6,3930,5083,1,0,1,4,6,2532,376,2010,0,98006,47.35205775430822,-122.10592448146166
200,1956-07-16,326675.61,2,3,4267,9573,3,1,0,5,2,3321,539,1932,0,98006,47.392277902151434,-121.70398706899059
201,1967-06-22,376489.17,1,5,2534,6399,3,1,2,2,11,557,519,1938,0,98006,47.2736475294933,-121.75264780688788
202,1984-01-17,170254.31,3,5,3510,2449,1,1,1,5,2,3439,2,1982,2016,98003,47.48797139335406,-121.97218725232051
203,2020-11-13,385419.01,7,3,3042,6188,2,1,0,2,11,1400,653,2020,2020,98008,47.59461780168029,-121.75259268381252
204,2020-05-11,428465.11,3,1,812,4551,1,1,0,3,11,1877,1094,2019,0,98008,47.07360020387338,-122.03081335611397
205,1982-09-28,542421.84,2,6,3936,7056,3,0,4,3,8,562,1273,1904,1948,98008,47.097402433080106,-122.09117710274367
206,2000-08-15,455261.62,6,5,1230,1441,2,1,0,1,5,4192,1206,1936,2004,98003,47.392921965236596,-121.84216300554556
207,2007-01-03,339450.54,4,4,3747,6047,1,0,1,2,4,1331,396,1998,0,98007,47.725620494130844,-121.7583488441952
208,1965-12-17,236820.05,6,4,955,7089,2,1,3,4,9,3242,916,1958,0,98009,47.41616912039177,-121.8793503266638
209,1969-06-19,633576.74,7,6,2113,5951,1,0,2,1,8,981,272,1946,0,98003,47.26202175989916,-122.25260798865315
210,2020-03-22,590683.03,6,1,1159,7661,3,1,3,5,6,2435,121,2008,0,98004,47.58570376277375,-121.86830148328751
211,1984-11-20,571423.79,2,4,1357,2285,2,0,2,4,7,3452,1912,1936,1960,98002,47.276372883267435,-121.73540192248183
212,1987-10-08,455186.57,1,3,1038,7274,1,1,3,4,6,3615,1184,1986,0,98009,47.750711304478905,-121.7852318230733
213,1940-08-07,370463.05,4,3,4079,6618,3,0,3,1,13,3663,1314,1902,1940,98010,47.71467628025487,-122.09101600138239
214,2021-02-23,563747.66,7,5,3802,8943,1,0,3,3,1,1824,91,2000,2023,98009,47.40545893990521,-122.37781950780833
